id_municipio,pib_mil_reais,ano_pib
2410207,78933,2021
2410256,149471,2021
2410306,109306,2021
2410405,169428,2021
2410504,53271,2021
2410603,43450,2021
2410702,37507,2021
2410801,43512,2021
2410900,192156,2021
2411007,59192,2021
2411056,115022,2021
2411106,126772,2021
2411205,619036,2021
2411403,147037,2021
2411429,36353,2021
2411502,302533,2021
2411601,549241,2021
2411700,45623,2021
2411809,63596,2021
2411908,54447,2021
2412005,1905641,2021
2412104,84585,2021
2412203,1040956,2021
2412302,125090,2021
2412401,83854,2021
2412500,319740,2021
2412559,492637,2021
2412609,231552,2021
2412708,55799,2021
2412807,88674,2021
2412906,111773,2021
2413003,76920,2021
2413102,60475,2021
2413201,116486,2021
2413300,57410,2021
2413359,858721,2021
2413409,118874,2021
2413508,71897,2021
2413557,49786,2021
2413607,63098,2021
2413706,53783,2021
2413805,32472,2021
2413904,155197,2021
2414001,201782,2021
2414100,113586,2021
2414159,107284,2021
2414209,415829,2021
2414308,43617,2021
2414407,814838,2021
2414456,45829,2021
2414506,151205,2021
2414605,214152,2021
2414704,56555,2021
2414753,43202,2021
2414803,133469,2021
2414902,23238,2021
2415008,44403,2021
2500106,92268,2021
2500205,60256,2021
2500304,300766,2021
2500403,335568,2021
2500502,138844,2021
2500536,55221,2021
2500577,28688,2021
2500601,3391901,2021
2500700,226326,2021
2500734,29514,2021
2500775,105562,2021
2500809,186121,2021
2500908,112505,2021
2501005,204618,2021
2501104,258030,2021
2501153,26146,2021
2501203,62686,2021
2501302,286086,2021
2501351,48605,2021
2501401,108130,2021
2501500,279647,2021
2501534,49872,2021
2501575,90980,2021
2501609,151140,2021
2501708,85061,2021
2501807,1367700,2021
2501906,217642,2021
2502003,78754,2021
2502052,40115,2021
2502102,51771,2021
2502151,203601,2021
2502201,32154,2021
2502300,54738,2021
2502409,96760,2021
2502508,260287,2021
2502607,60877,2021
2502706,69315,2021
2502805,147569,2021
2502904,64523,2021
2503001,416707,2021
2503100,116784,2021
2503209,3137677,2021
2503308,125141,2021
2503407,39217,2021
2503506,154293,2021
2503555,67251,2021
2503605,65797,2021
2503704,1231837,2021
2503753,42140,2021
2503803,74927,2021
2503902,71860,2021
2504009,10349781,2021
2504033,75876,2021
2504074,42317,2021
2504108,31011,2021
2504157,70122,2021
2504207,53095,2021
2504306,506809,2021
2504355,61814,2021
