id_municipio,nome_municipio,sigla_uf,regiao,taxa_2023,taxa_2024,meta_2025,meta_2030,delta_observado,delta_projetado,projecao_2025,projecao_2026,projecao_2027,projecao_2028,projecao_2029,projecao_2030,atinge_meta_2025,atinge_meta_2030,gap_2030,ritmo_necessario_ate_2030,ritmo_projetado,classificacao_ritmo
3204807,São José do Calçado,ES,Sudeste,74.52,62.35,76.18,80.0,-12.17,-3.74,59.17,56.47,54.17,52.22,50.56,49.15,0,0,-30.85,2.94,-3.74,Em retrocesso
4102604,Barracão,PR,Sul,72.57,73.99,74.86,80.0,1.42,-0.15,73.86,73.75,73.66,73.58,73.52,73.46,0,0,-6.54,1.0,-0.15,Ritmo critico
5007406,Rio Verde de Mato Grosso,MS,Centro-Oeste,47.3,49.11,57.9,80.0,1.81,5.1,53.44,57.13,60.26,62.92,65.19,67.11,0,0,-12.89,5.15,5.1,Ritmo insuficiente
5005400,Maracaju,MS,Centro-Oeste,40.62,46.55,53.12,80.0,5.93,7.16,52.64,57.81,62.21,65.94,69.12,71.82,0,0,-8.18,5.58,7.16,No ritmo da meta
4123303,Santa Cruz de Monte Castelo,PR,Sul,85.79,59.1,80.0,80.0,-26.69,-14.21,47.02,36.75,28.03,20.61,14.31,8.95,0,0,-71.05,3.48,-14.21,Em retrocesso
1502152,Canaã dos Carajás,PA,Norte,62.1,65.12,67.89,80.0,3.02,2.73,67.44,69.41,71.09,72.51,73.73,74.76,0,0,-5.24,2.48,2.73,No ritmo da meta
4306379,Dilermando de Aguiar,RS,Sul,67.29,53.6,71.33,80.0,-13.69,-16.82,39.3,27.15,16.82,8.04,0.58,0.0,0,0,-80.0,4.4,-16.82,Em retrocesso
2208502,Porto,PI,Nordeste,40.12,36.04,52.75,80.0,-4.08,1.08,36.96,37.74,38.4,38.97,39.44,39.85,0,0,-40.15,7.33,1.08,Em retrocesso
2502102,Boa Ventura,PB,Nordeste,28.58,47.71,43.58,80.0,19.13,12.13,58.02,66.78,74.23,80.57,85.95,90.52,1,1,10.52,5.38,12.13,No ritmo da meta
5007695,São Gabriel do Oeste,MS,Centro-Oeste,52.32,62.1,61.36,80.0,9.78,9.09,69.83,76.39,81.98,86.72,90.75,94.18,1,1,14.18,2.98,9.09,No ritmo da meta
2910727,Eunápolis,BA,Nordeste,34.62,38.37,48.55,80.0,3.75,1.42,39.58,40.6,41.48,42.22,42.85,43.38,0,0,-36.62,6.94,1.42,Ritmo critico
2921054,Matina,BA,Nordeste,41.7,42.52,53.91,80.0,0.82,-0.04,42.49,42.46,42.43,42.41,42.39,42.38,0,0,-37.62,6.25,-0.04,Ritmo critico
2704708,Marechal Deodoro,AL,Nordeste,40.6,46.23,53.1,80.0,5.63,6.14,51.45,55.89,59.66,62.86,65.59,67.9,0,0,-12.1,5.63,6.14,No ritmo da meta
3302205,Itaperuna,RJ,Sudeste,68.63,65.26,72.22,80.0,-3.37,-0.16,65.12,65.01,64.91,64.83,64.76,64.7,0,0,-15.3,2.46,-0.16,Em retrocesso
2701704,Capela,AL,Nordeste,41.23,42.53,53.57,80.0,1.3,3.98,45.91,48.79,51.23,53.31,55.08,56.58,0,0,-23.42,6.24,3.98,Ritmo insuficiente
